CreditScore,AppliedLoanAmount,Purpose,ProposedInterestRate,ProposedLoanAmount,ProposedLoanTerm
675,63000,Utility Payments,6.91,56000,12
656,89000,Wedding Expenses,5.59,82000,72
763,94000,Community Projects,2.47,83000,24
760,16000,Marketing and Advertising,3.77,14000,36
675,84000,Home Renovation,6.82,70000,48
707,51000,Technology Upgrade,4.98,43000,12
839,16000,Emergency Personal Funds,3.63,15000,48
777,97000,Vehicle for Business Use,2.49,89000,72
808,24000,Agriculture Expenses,2.99,20000,72
741,8000,Agriculture Expenses,5.26,7000,48
847,20000,Marketing and Advertising,3.7,18000,12
803,45000,Business Expansion,3.58,38000,60
779,38000,Inventory Purchase,3.41,33000,12
632,88000,Inventory Purchase,7.84,80000,36
845,39000,Vehicle for Business Use,3.13,33000,48
604,25000,Social Enterprise,7.02,23000,36
821,99000,Training and Development,3.0,87000,12
808,18000,Debt Consolidation,2.61,16000,48
794,63000,Social Enterprise,2.5,62000,12
619,82000,Inventory Purchase,7.55,79000,24
659,51000,Healthcare Expenses,6.46,42000,72
662,60000,Training and Development,5.89,55000,36
651,93000,Home Renovation,5.86,81000,72
801,6000,Vehicle for Business Use,3.83,5000,60
765,100000,Social Enterprise,2.89,89000,24
674,56000,Education Fees,6.92,54000,48
795,69000,Startup Capital,3.16,56000,12
761,51000,Social Enterprise,3.58,47000,36
658,31000,Emergency Personal Funds,6.95,30000,72
821,63000,Technology Upgrade,3.6,59000,12
829,98000,Community Projects,3.72,90000,24
666,43000,Emergency Business Funds,6.15,35000,24
694,73000,Home Renovation,5.68,60000,48
660,90000,Education Fees,6.86,77000,60
654,50000,Emergency Business Funds,5.95,40000,36
827,11000,Startup Capital,3.38,10000,36
790,5000,Equipment Purchase,3.54,4000,12
612,7000,Inventory Purchase,8.17,6000,36
760,54000,Vehicle for Business Use,3.87,45000,60
775,58000,Inventory Purchase,2.79,57000,36
719,99000,Equipment Purchase,5.26,94000,12
769,71000,Working Capital,3.89,61000,12
845,34000,Green Initiatives,3.11,33000,36
823,61000,Travel Costs,3.63,53000,48
760,63000,Emergency Personal Funds,2.99,58000,72
759,28000,Marketing and Advertising,2.85,25000,24
767,7000,Marketing and Advertising,3.13,6000,24
649,19000,Emergency Business Funds,8.25,18000,36
672,13000,Social Enterprise,6.82,10000,36
613,8000,Technology Upgrade,8.92,7000,24
631,22000,Emergency Personal Funds,7.66,19000,72
686,35000,Emergency Personal Funds,5.6,33000,72
738,24000,Green Initiatives,4.19,19000,36
742,39000,Emergency Business Funds,4.2,33000,24
813,94000,Inventory Purchase,2.95,80000,24
822,68000,Marketing and Advertising,3.78,55000,36
825,35000,Healthcare Expenses,2.46,30000,60
802,8000,Marketing and Advertising,3.56,7000,24
804,13000,Marketing and Advertising,3.32,11000,24
811,20000,Emergency Business Funds,3.09,18000,36
823,93000,Emergency Business Funds,2.51,77000,36
741,69000,Equipment Purchase,5.04,58000,36
803,72000,Home Renovation,3.62,71000,60
635,18000,Business Expansion,8.39,16000,48
763,22000,Community Projects,3.15,20000,36
685,25000,Wedding Expenses,5.97,22000,60
672,47000,Working Capital,6.18,43000,12
623,31000,Training and Development,8.1,29000,12
804,14000,Utility Payments,3.9,13000,24
630,23000,Emergency Personal Funds,8.09,22000,48
765,65000,Debt Consolidation,3.84,53000,72
832,78000,Technology Upgrade,3.65,76000,36
770,45000,Marketing and Advertising,3.71,37000,24
761,74000,Emergency Personal Funds,3.63,59000,60
638,17000,Marketing and Advertising,8.34,14000,36
826,27000,Vehicle for Business Use,2.98,21000,60
814,72000,Healthcare Expenses,3.19,64000,72
725,86000,Wedding Expenses,4.31,82000,72
649,49000,Social Enterprise,8.84,39000,24
838,33000,Debt Consolidation,3.45,31000,72
707,34000,Wedding Expenses,4.88,32000,72
727,7000,Home Renovation,4.75,5000,48
601,30000,Childcare Expenses,8.66,27000,60
704,70000,Education Fees,4.61,63000,48
780,50000,Childcare Expenses,3.29,41000,48
796,62000,Vehicle for Business Use,2.69,61000,60
785,87000,Community Projects,3.7,73000,24
646,8000,Working Capital,8.44,7000,36
604,28000,Home Renovation,8.27,25000,72
659,19000,Technology Upgrade,6.45,15000,12
845,60000,Working Capital,3.44,54000,36
629,31000,Vehicle for Business Use,8.29,27000,72
719,22000,Travel Costs,5.23,20000,72
631,32000,Training and Development,7.48,26000,12
835,87000,Marketing and Advertising,3.17,75000,36
848,78000,Emergency Business Funds,3.7,75000,12
642,35000,Green Initiatives,8.34,29000,12
657,43000,Marketing and Advertising,6.08,35000,24
843,86000,Community Projects,2.92,70000,36
621,13000,Vehicle for Business Use,7.52,11000,72
799,18000,Education Fees,3.51,17000,48
643,7000,Community Projects,7.73,6000,12
740,14000,Startup Capital,4.24,13000,12
803,8000,Utility Payments,3.21,6000,36
643,12000,Healthcare Expenses,8.84,11000,72
686,49000,Green Initiatives,5.48,39000,36
650,58000,Startup Capital,6.13,57000,36
813,81000,Healthcare Expenses,3.84,72000,60
730,64000,Marketing and Advertising,4.27,57000,12
675,24000,Green Initiatives,6.26,22000,12
729,17000,Vehicle for Business Use,4.11,15000,72
611,93000,Technology Upgrade,8.53,79000,36
652,18000,Technology Upgrade,6.16,15000,12
763,7000,Working Capital,3.28,5000,12
643,52000,Debt Consolidation,7.36,47000,72
832,75000,Education Fees,3.95,60000,60
651,60000,Travel Costs,6.73,58000,60
686,65000,Startup Capital,6.7,64000,12
737,78000,Working Capital,4.31,75000,36
606,100000,Business Expansion,7.62,96000,72
657,85000,Agriculture Expenses,6.28,71000,48
688,54000,Travel Costs,5.64,50000,72
785,21000,Home Renovation,2.52,17000,60
824,45000,Home Renovation,2.9,36000,48
660,82000,Technology Upgrade,5.5,79000,12
848,89000,Childcare Expenses,3.29,87000,60
611,57000,Green Initiatives,7.11,47000,12
818,90000,Agriculture Expenses,3.5,86000,60
664,34000,Training and Development,5.88,30000,36
632,27000,Home Renovation,8.83,23000,60
632,39000,Marketing and Advertising,8.45,34000,36
741,52000,Education Fees,4.65,49000,48
626,92000,Business Expansion,7.31,78000,60
669,59000,Childcare Expenses,5.69,48000,48
827,37000,Green Initiatives,2.92,36000,12
640,5000,Debt Consolidation,8.35,4000,60
638,90000,Working Capital,7.75,80000,24
792,21000,Training and Development,3.21,20000,12
804,75000,Business Expansion,3.44,65000,48
809,80000,Travel Costs,3.94,74000,72
606,32000,Emergency Personal Funds,8.83,27000,60
676,7000,Startup Capital,5.5,6000,36
684,16000,Equipment Purchase,6.64,15000,24
766,61000,Wedding Expenses,3.1,49000,60
834,10000,Travel Costs,2.57,8000,72
709,18000,Green Initiatives,4.77,14000,12
821,35000,Utility Payments,2.74,31000,36
737,31000,Green Initiatives,4.83,27000,24
757,99000,Inventory Purchase,2.5,86000,24
651,36000,Debt Consolidation,6.51,31000,72
667,55000,Training and Development,6.03,50000,12
602,13000,Travel Costs,7.73,10000,72
795,47000,Inventory Purchase,3.95,45000,12
741,62000,Working Capital,4.73,55000,36
658,63000,Business Expansion,5.68,59000,60
677,30000,Training and Development,6.09,24000,24
626,100000,Vehicle for Business Use,7.66,91000,48
849,88000,Green Initiatives,3.2,76000,36
848,98000,Community Projects,3.04,79000,36
608,67000,Green Initiatives,8.84,60000,24
623,41000,Utility Payments,8.17,32000,24
659,5000,Travel Costs,6.42,4000,60
835,61000,Home Renovation,2.6,57000,72
825,65000,Social Enterprise,2.71,55000,36
673,39000,Business Expansion,6.37,31000,72
687,82000,Training and Development,6.23,80000,36
836,78000,Technology Upgrade,2.48,67000,12
726,31000,Emergency Personal Funds,3.99,28000,48
608,46000,Emergency Business Funds,7.61,40000,24
614,23000,Startup Capital,7.79,19000,12
748,9000,Home Renovation,5.16,7000,60
763,93000,Training and Development,2.49,92000,36
685,15000,Working Capital,6.14,14000,12
662,82000,Social Enterprise,6.28,76000,36
781,53000,Agriculture Expenses,3.49,43000,60
634,24000,Marketing and Advertising,8.04,23000,12
682,90000,Community Projects,6.32,83000,36
607,18000,Startup Capital,8.11,14000,36
793,76000,Inventory Purchase,3.58,70000,24
781,27000,Wedding Expenses,2.9,26000,60
667,29000,Green Initiatives,6.55,27000,12
756,61000,Social Enterprise,2.7,56000,24
762,29000,Training and Development,2.78,26000,12
612,80000,Emergency Personal Funds,7.12,72000,48
769,20000,Healthcare Expenses,2.67,19000,60
725,36000,Healthcare Expenses,5.11,35000,48
747,45000,Technology Upgrade,4.03,39000,36
756,11000,Healthcare Expenses,3.25,10000,72
602,88000,Vehicle for Business Use,7.46,85000,72
846,22000,Vehicle for Business Use,3.3,19000,72
682,17000,Debt Consolidation,6.46,13000,48
642,61000,Healthcare Expenses,7.7,51000,60
757,70000,Marketing and Advertising,3.58,63000,36
760,8000,Debt Consolidation,2.54,6000,72
742,58000,Childcare Expenses,4.14,49000,48
793,47000,Community Projects,3.93,40000,24
776,56000,Education Fees,3.2,49000,60
798,88000,Healthcare Expenses,3.91,75000,48
797,25000,Debt Consolidation,3.33,22000,60
710,80000,Training and Development,4.76,74000,36
667,90000,Social Enterprise,6.14,73000,36
649,5000,Healthcare Expenses,8.37,4000,60
789,27000,Vehicle for Business Use,3.44,21000,48
746,13000,Equipment Purchase,4.86,12000,36
785,6000,Childcare Expenses,3.4,4000,48
698,16000,Community Projects,6.36,15000,24
823,57000,Inventory Purchase,3.93,45000,12
737,15000,Education Fees,3.99,12000,48
626,36000,Emergency Business Funds,7.22,31000,12
693,48000,Community Projects,6.5,42000,24
639,71000,Working Capital,6.97,64000,12
769,82000,Utility Payments,2.59,75000,12
720,79000,Home Renovation,5.34,73000,48
843,16000,Wedding Expenses,3.62,15000,48
653,21000,Equipment Purchase,5.64,20000,12
630,59000,Healthcare Expenses,8.43,49000,72
828,12000,Wedding Expenses,3.34,9000,72
828,48000,Emergency Business Funds,3.38,38000,24
614,7000,Agriculture Expenses,7.23,6000,48
745,91000,Working Capital,4.36,80000,12
617,76000,Marketing and Advertising,7.37,65000,24
799,49000,Social Enterprise,3.63,42000,36
666,22000,Green Initiatives,6.42,19000,24
681,73000,Startup Capital,6.94,71000,36
809,42000,Agriculture Expenses,3.12,41000,72
829,21000,Marketing and Advertising,3.42,17000,12
825,52000,Debt Consolidation,2.73,47000,48
816,26000,Technology Upgrade,2.74,23000,36
817,45000,Equipment Purchase,3.0,38000,12
621,34000,Travel Costs,7.33,28000,72
751,78000,Inventory Purchase,3.52,74000,24
772,6000,Business Expansion,2.88,5000,72
838,53000,Utility Payments,3.59,42000,36
657,10000,Equipment Purchase,5.63,9000,24
773,26000,Wedding Expenses,3.49,24000,72
836,6000,Emergency Business Funds,2.99,5000,12
758,29000,Healthcare Expenses,3.34,25000,72
762,16000,Green Initiatives,2.6,14000,12
840,7000,Education Fees,3.76,5000,72
629,35000,Emergency Business Funds,7.64,31000,24
798,95000,Education Fees,3.68,90000,48
705,45000,Childcare Expenses,4.96,38000,72
769,66000,Education Fees,3.73,57000,72
736,67000,Home Renovation,5.41,63000,48
819,81000,Childcare Expenses,3.64,74000,60
734,94000,Training and Development,4.25,80000,24
839,64000,Vehicle for Business Use,2.61,57000,48
743,29000,Business Expansion,4.17,26000,60
824,97000,Startup Capital,2.52,83000,12
639,45000,Emergency Business Funds,8.03,38000,36
815,52000,Startup Capital,3.43,44000,24
804,86000,Education Fees,2.7,72000,60
645,69000,Wedding Expenses,7.34,62000,48
765,47000,Startup Capital,3.16,46000,12
804,81000,Emergency Personal Funds,2.74,70000,72
689,62000,Healthcare Expenses,6.6,52000,60
840,11000,Travel Costs,3.5,8000,72
602,91000,Home Renovation,8.09,88000,72
676,58000,Training and Development,6.63,56000,24
760,70000,Vehicle for Business Use,2.85,66000,48
619,87000,Agriculture Expenses,8.62,73000,48
609,44000,Travel Costs,7.41,42000,60
614,10000,Working Capital,8.85,9000,36
834,25000,Community Projects,2.94,22000,36
697,60000,Vehicle for Business Use,6.52,59000,48
671,74000,Green Initiatives,5.98,62000,12
607,99000,Wedding Expenses,8.26,84000,72
802,28000,Wedding Expenses,3.67,26000,48
732,76000,Healthcare Expenses,4.02,64000,60
628,94000,Home Renovation,9.0,89000,48
651,71000,Travel Costs,6.84,70000,60
801,26000,Equipment Purchase,3.06,23000,24
665,98000,Wedding Expenses,5.87,87000,60
610,18000,Wedding Expenses,8.93,17000,48
715,71000,Wedding Expenses,4.77,67000,48
768,31000,Business Expansion,3.21,30000,72
808,54000,Inventory Purchase,3.29,45000,36
747,8000,Healthcare Expenses,4.38,6000,60
755,57000,Wedding Expenses,2.9,55000,48
673,44000,Community Projects,6.63,41000,36
627,36000,Training and Development,7.57,32000,12
650,20000,Vehicle for Business Use,6.8,19000,72
631,25000,Green Initiatives,8.59,21000,36
674,14000,Working Capital,5.46,13000,24
746,84000,Debt Consolidation,5.09,67000,60
677,36000,Marketing and Advertising,6.81,34000,36
632,10000,Emergency Personal Funds,8.84,8000,72
801,65000,Childcare Expenses,3.38,57000,60
627,32000,Agriculture Expenses,8.71,26000,48
754,45000,Utility Payments,3.82,44000,12
623,9000,Technology Upgrade,8.51,7000,12
828,19000,Vehicle for Business Use,2.6,15000,48
667,62000,Inventory Purchase,6.6,56000,24
825,13000,Utility Payments,2.5,10000,36
792,98000,Inventory Purchase,3.0,82000,24
788,49000,Debt Consolidation,3.58,48000,48
610,28000,Green Initiatives,8.07,26000,12
743,85000,Technology Upgrade,4.06,71000,36
820,53000,Healthcare Expenses,3.68,50000,72
687,59000,Community Projects,5.58,49000,36
714,71000,Emergency Business Funds,4.07,66000,12
736,58000,Startup Capital,5.06,53000,24
624,8000,Travel Costs,7.55,7000,60
847,11000,Healthcare Expenses,3.78,10000,48
615,23000,Wedding Expenses,7.55,18000,48
753,6000,Agriculture Expenses,2.73,5000,48
844,81000,Agriculture Expenses,2.76,75000,72
695,38000,Healthcare Expenses,6.91,33000,48
785,95000,Emergency Business Funds,3.78,91000,24
605,77000,Home Renovation,6.99,64000,72
750,49000,Childcare Expenses,3.74,46000,72
706,27000,Equipment Purchase,4.72,22000,24
719,8000,Vehicle for Business Use,5.24,7000,72
693,68000,Debt Consolidation,6.55,62000,72
630,5000,Business Expansion,7.0,4000,48
832,78000,Home Renovation,2.52,72000,72
722,95000,Community Projects,5.0,87000,36
826,41000,Healthcare Expenses,3.2,38000,72
685,70000,Social Enterprise,6.95,63000,36
824,31000,Debt Consolidation,3.92,25000,48
774,48000,Social Enterprise,3.53,38000,36
787,33000,Utility Payments,3.07,31000,36
844,76000,Debt Consolidation,3.42,73000,48
843,34000,Vehicle for Business Use,3.87,31000,72
732,89000,Utility Payments,5.39,77000,12
748,49000,Emergency Business Funds,5.02,47000,24
632,42000,Business Expansion,7.6,38000,72
689,94000,Travel Costs,6.31,80000,60
848,71000,Technology Upgrade,3.06,57000,36
796,89000,Inventory Purchase,3.3,80000,12
646,5000,Debt Consolidation,7.31,4000,72
665,77000,Debt Consolidation,6.9,76000,60
743,83000,Emergency Business Funds,4.15,82000,24
662,27000,Wedding Expenses,5.81,26000,72
658,69000,Community Projects,5.49,62000,12
818,66000,Technology Upgrade,2.8,56000,36
636,66000,Business Expansion,7.35,53000,48
705,92000,Inventory Purchase,5.37,76000,36
796,55000,Community Projects,2.5,54000,36
717,66000,Working Capital,4.74,60000,24
742,43000,Vehicle for Business Use,5.37,36000,60
641,6000,Working Capital,8.44,5000,36
839,13000,Social Enterprise,2.85,11000,36
727,68000,Vehicle for Business Use,5.22,60000,48
829,12000,Working Capital,3.46,10000,12
633,64000,Healthcare Expenses,7.79,60000,72
705,33000,Green Initiatives,4.28,31000,36
838,50000,Healthcare Expenses,3.36,49000,48
760,95000,Technology Upgrade,2.65,93000,12
832,57000,Training and Development,2.53,55000,36
725,15000,Social Enterprise,5.05,12000,24
761,86000,Agriculture Expenses,2.9,78000,48
600,8000,Utility Payments,8.32,7000,12
622,53000,Working Capital,7.35,51000,36
633,6000,Working Capital,8.53,5000,24
789,7000,Childcare Expenses,3.84,6000,60
681,70000,Emergency Business Funds,6.17,59000,12
778,16000,Startup Capital,3.6,15000,12
815,41000,Marketing and Advertising,2.87,34000,24
842,11000,Childcare Expenses,2.77,10000,72
684,25000,Emergency Personal Funds,5.51,21000,72
685,23000,Emergency Business Funds,5.63,19000,36
802,8000,Community Projects,3.95,7000,24
645,58000,Education Fees,7.45,56000,48
811,93000,Social Enterprise,3.58,92000,24
727,48000,Training and Development,5.37,43000,24
673,30000,Debt Consolidation,5.79,29000,48
721,55000,Vehicle for Business Use,4.67,45000,48
788,44000,Technology Upgrade,3.18,41000,36
733,6000,Emergency Personal Funds,4.93,4000,60
714,26000,Wedding Expenses,5.13,22000,60
834,31000,Education Fees,2.74,30000,48
630,31000,Equipment Purchase,8.85,26000,24
826,9000,Startup Capital,3.52,8000,36
687,51000,Working Capital,6.33,48000,24
824,80000,Home Renovation,3.3,78000,48
849,32000,Utility Payments,2.72,31000,12
771,37000,Travel Costs,3.13,30000,48
747,65000,Debt Consolidation,5.09,54000,48
603,33000,Travel Costs,8.4,31000,60
825,22000,Marketing and Advertising,3.16,21000,12
815,67000,Wedding Expenses,2.97,63000,60
664,89000,Equipment Purchase,5.82,85000,36
602,24000,Working Capital,7.47,21000,36
828,53000,Inventory Purchase,3.49,42000,12
644,80000,Utility Payments,8.29,73000,24
787,44000,Wedding Expenses,3.65,42000,48
629,19000,Equipment Purchase,8.65,17000,24
720,10000,Vehicle for Business Use,5.03,9000,72
826,49000,Startup Capital,3.2,47000,24
751,17000,Travel Costs,2.47,13000,48
710,36000,Inventory Purchase,4.47,34000,36
801,8000,Startup Capital,2.82,6000,24
628,44000,Inventory Purchase,8.35,38000,24
704,13000,Social Enterprise,4.4,12000,12
805,24000,Agriculture Expenses,3.73,22000,60
738,70000,Emergency Business Funds,5.45,64000,36
776,22000,Green Initiatives,3.48,18000,24
804,12000,Community Projects,3.68,10000,24
769,30000,Technology Upgrade,3.21,25000,12
723,50000,Utility Payments,4.38,41000,24
639,52000,Agriculture Expenses,8.74,45000,60
609,19000,Working Capital,7.83,16000,36
765,9000,Utility Payments,2.53,8000,12
749,22000,Wedding Expenses,4.22,18000,48
824,80000,Community Projects,3.54,69000,36
746,42000,Equipment Purchase,4.77,38000,36
602,9000,Childcare Expenses,7.11,7000,72
705,34000,Home Renovation,4.27,27000,60
639,99000,Equipment Purchase,8.39,98000,12
843,81000,Wedding Expenses,3.56,80000,48
791,26000,Green Initiatives,3.48,20000,12
710,50000,Emergency Business Funds,4.76,41000,24
754,15000,Training and Development,3.85,14000,24
604,82000,Working Capital,8.13,79000,24
848,29000,Working Capital,3.9,24000,12
651,36000,Community Projects,5.85,31000,24
721,28000,Healthcare Expenses,4.85,27000,72
790,45000,Training and Development,2.84,36000,12
819,33000,Business Expansion,2.7,31000,60
608,9000,Startup Capital,8.47,8000,36
751,97000,Healthcare Expenses,2.93,78000,60
694,9000,Vehicle for Business Use,6.14,8000,60
639,13000,Training and Development,8.58,12000,24
826,73000,Training and Development,2.82,69000,24
712,15000,Education Fees,4.21,14000,72
726,51000,Business Expansion,4.72,44000,72
843,95000,Training and Development,3.77,76000,36
655,26000,Working Capital,5.78,21000,12
726,62000,Healthcare Expenses,4.29,50000,48
827,16000,Business Expansion,2.82,15000,60
807,86000,Education Fees,3.48,82000,48
675,66000,Agriculture Expenses,6.78,60000,72
724,33000,Community Projects,4.2,29000,24
760,32000,Emergency Business Funds,2.88,27000,12
817,12000,Childcare Expenses,3.69,9000,48
635,40000,Agriculture Expenses,6.96,34000,60
679,88000,Working Capital,5.62,79000,24
625,41000,Startup Capital,8.21,34000,24
770,11000,Social Enterprise,3.32,9000,12
778,45000,Training and Development,3.93,41000,24
647,21000,Childcare Expenses,7.69,17000,60
628,100000,Startup Capital,7.47,89000,24
827,11000,Travel Costs,2.94,10000,60
606,81000,Social Enterprise,8.86,77000,24
791,42000,Home Renovation,3.54,35000,48
713,58000,Education Fees,4.18,48000,60
757,78000,Travel Costs,3.27,64000,48
842,32000,Startup Capital,2.52,29000,12
811,95000,Business Expansion,2.59,91000,48
758,97000,Childcare Expenses,2.58,84000,60
680,46000,Vehicle for Business Use,6.72,40000,72
705,68000,Emergency Business Funds,5.22,67000,24
619,25000,Emergency Personal Funds,7.98,21000,48
637,90000,Technology Upgrade,8.19,74000,12
804,55000,Education Fees,3.53,50000,60
667,40000,Vehicle for Business Use,6.95,39000,48
637,13000,Childcare Expenses,8.19,12000,48
617,76000,Travel Costs,7.13,66000,60
659,66000,Training and Development,5.53,60000,12
808,56000,Community Projects,2.73,54000,24
730,16000,Agriculture Expenses,4.58,15000,60
681,53000,Marketing and Advertising,6.35,44000,24
670,44000,Startup Capital,5.49,42000,12
784,27000,Healthcare Expenses,2.54,25000,72
805,33000,Training and Development,3.62,28000,36
813,97000,Vehicle for Business Use,3.86,78000,60
688,66000,Equipment Purchase,6.11,53000,24
713,52000,Social Enterprise,4.27,51000,36
838,82000,Business Expansion,3.43,81000,60
697,34000,Childcare Expenses,6.1,29000,60
677,37000,Home Renovation,5.92,34000,48
612,89000,Healthcare Expenses,7.79,75000,48
600,99000,Travel Costs,7.29,96000,48
615,85000,Vehicle for Business Use,7.47,77000,60
753,56000,Business Expansion,3.56,46000,60
663,76000,Agriculture Expenses,6.47,73000,60
743,73000,Equipment Purchase,5.38,68000,36
728,83000,Business Expansion,4.63,75000,60
759,67000,Vehicle for Business Use,3.91,55000,48
719,7000,Inventory Purchase,4.64,6000,24
608,70000,Agriculture Expenses,7.98,69000,60
619,8000,Community Projects,8.04,6000,24
646,96000,Childcare Expenses,8.81,94000,48
642,30000,Debt Consolidation,6.96,25000,72
714,21000,Utility Payments,5.14,18000,24
681,13000,Working Capital,5.76,11000,36
812,59000,Emergency Business Funds,3.63,51000,24
745,23000,Utility Payments,4.61,21000,36
610,95000,Emergency Business Funds,7.62,89000,36
614,5000,Technology Upgrade,6.97,4000,12
677,83000,Childcare Expenses,6.14,70000,60
751,9000,Social Enterprise,3.87,7000,12
676,74000,Wedding Expenses,6.15,59000,60
801,79000,Community Projects,2.77,69000,12
642,69000,Technology Upgrade,7.25,59000,24
618,88000,Utility Payments,8.2,73000,24
639,21000,Technology Upgrade,8.85,18000,12
654,77000,Business Expansion,6.35,67000,48
802,99000,Social Enterprise,3.68,95000,12
623,31000,Community Projects,8.63,26000,24
782,40000,Working Capital,2.78,38000,12
635,81000,Wedding Expenses,8.24,74000,72
611,15000,Training and Development,7.17,12000,36
834,6000,Business Expansion,3.88,5000,60
805,76000,Healthcare Expenses,3.34,71000,72
767,13000,Healthcare Expenses,3.19,12000,48
673,61000,Marketing and Advertising,5.64,57000,12
720,85000,Home Renovation,5.21,84000,72
709,23000,Working Capital,5.17,19000,36
704,26000,Healthcare Expenses,4.92,21000,60
667,23000,Equipment Purchase,6.34,21000,24
733,63000,Wedding Expenses,4.98,56000,48
718,48000,Wedding Expenses,4.35,41000,60
800,56000,Green Initiatives,3.66,50000,24
721,8000,Emergency Personal Funds,5.23,7000,48
718,82000,Business Expansion,5.2,70000,48
829,18000,Home Renovation,3.38,16000,60
829,76000,Green Initiatives,3.64,68000,36
825,75000,Emergency Personal Funds,3.21,63000,48
675,10000,Social Enterprise,6.7,8000,12
768,60000,Business Expansion,2.96,51000,60
720,28000,Social Enterprise,5.15,26000,24
800,94000,Emergency Personal Funds,3.24,82000,48
840,55000,Agriculture Expenses,3.74,49000,72
784,68000,Utility Payments,4.0,57000,36
611,95000,Inventory Purchase,8.31,93000,36
646,77000,Startup Capital,7.12,68000,12
621,40000,Education Fees,7.42,38000,60
756,30000,Childcare Expenses,2.58,28000,72
749,81000,Vehicle for Business Use,4.21,72000,48
673,12000,Green Initiatives,6.9,10000,12
768,94000,Wedding Expenses,2.66,89000,60
708,7000,Training and Development,4.51,5000,12
780,17000,Social Enterprise,2.46,14000,36
666,40000,Startup Capital,6.47,35000,36
602,82000,Equipment Purchase,8.67,79000,36
828,75000,Childcare Expenses,3.92,67000,72
848,89000,Travel Costs,3.51,88000,60
720,72000,Equipment Purchase,4.49,63000,12
758,91000,Social Enterprise,3.33,81000,24
610,6000,Inventory Purchase,7.34,5000,24
761,40000,Education Fees,3.86,34000,60
769,8000,Healthcare Expenses,3.67,7000,48
778,77000,Utility Payments,3.74,65000,36
780,13000,Training and Development,3.28,10000,12
610,35000,Emergency Personal Funds,7.2,33000,72
667,66000,Social Enterprise,6.31,62000,24
745,40000,Emergency Personal Funds,5.26,33000,48
741,43000,Emergency Personal Funds,5.15,40000,60
850,67000,Green Initiatives,2.88,61000,36
816,40000,Social Enterprise,2.78,36000,12
682,76000,Technology Upgrade,5.52,73000,36
631,36000,Green Initiatives,8.62,30000,24
822,31000,Social Enterprise,2.51,27000,36
731,19000,Social Enterprise,5.33,17000,24
850,30000,Business Expansion,3.05,29000,48
814,5000,Equipment Purchase,3.04,4000,12
769,43000,Equipment Purchase,3.67,37000,36
660,18000,Healthcare Expenses,5.83,16000,60
839,48000,Wedding Expenses,2.93,47000,72
789,95000,Marketing and Advertising,3.87,91000,36
624,72000,Utility Payments,7.18,65000,12
659,45000,Home Renovation,6.36,36000,60
626,11000,Equipment Purchase,8.3,9000,12
820,31000,Emergency Business Funds,3.77,24000,36
761,66000,Education Fees,3.59,60000,60
716,58000,Green Initiatives,5.13,57000,24
658,31000,Green Initiatives,5.51,29000,12
633,57000,Community Projects,7.17,49000,12
704,55000,Wedding Expenses,5.16,45000,48
788,84000,Emergency Personal Funds,3.83,82000,72
603,73000,Debt Consolidation,8.19,68000,72
702,54000,Home Renovation,4.4,52000,48
696,27000,Home Renovation,6.38,26000,60
619,53000,Emergency Business Funds,7.86,44000,12
816,80000,Working Capital,3.33,77000,36
666,35000,Agriculture Expenses,6.5,32000,72
678,33000,Marketing and Advertising,6.21,27000,12
739,43000,Startup Capital,5.01,36000,24
608,65000,Social Enterprise,7.69,63000,36
665,81000,Healthcare Expenses,5.75,78000,72
600,18000,Education Fees,7.4,16000,60
612,55000,Wedding Expenses,8.25,46000,48
720,41000,Education Fees,4.05,38000,48
721,53000,Equipment Purchase,5.27,51000,36
607,87000,Vehicle for Business Use,8.81,78000,60
705,57000,Community Projects,5.21,50000,24
823,7000,Inventory Purchase,3.28,6000,24
786,45000,Childcare Expenses,3.73,37000,48
729,59000,Working Capital,4.11,50000,12
733,13000,Training and Development,4.12,10000,36
693,38000,Debt Consolidation,5.84,34000,72
796,26000,Startup Capital,2.93,24000,24
699,82000,Education Fees,5.88,81000,72
639,33000,Debt Consolidation,8.69,28000,60
732,64000,Emergency Personal Funds,4.15,62000,72
650,85000,Technology Upgrade,6.81,70000,24
737,24000,Education Fees,5.13,21000,72
622,52000,Utility Payments,8.58,45000,24
795,99000,Emergency Personal Funds,3.09,91000,72
646,100000,Equipment Purchase,8.34,87000,12
608,41000,Vehicle for Business Use,8.61,38000,72
609,64000,Inventory Purchase,7.56,63000,24
685,17000,Social Enterprise,5.65,16000,12
747,14000,Marketing and Advertising,4.13,11000,12
755,72000,Inventory Purchase,3.15,70000,24
703,9000,Business Expansion,4.48,7000,72
628,6000,Emergency Business Funds,7.29,5000,24
699,72000,Green Initiatives,6.55,58000,24
675,70000,Community Projects,6.15,64000,12
737,12000,Agriculture Expenses,3.99,10000,60
844,91000,Agriculture Expenses,3.85,77000,72
677,17000,Utility Payments,6.92,15000,12
667,87000,Wedding Expenses,6.41,75000,60
815,23000,Training and Development,2.82,20000,24
783,66000,Utility Payments,3.31,65000,36
667,69000,Wedding Expenses,6.35,60000,72
813,57000,Marketing and Advertising,2.76,51000,24
639,38000,Wedding Expenses,7.93,34000,72
655,48000,Business Expansion,5.73,45000,48
769,33000,Inventory Purchase,3.32,31000,24
838,63000,Wedding Expenses,3.24,50000,60
827,37000,Agriculture Expenses,3.57,30000,60
653,91000,Green Initiatives,6.27,79000,36
